,id,name,sex,geography,postcode,ethnic_group,nationality,occupation,Diesel car,Diesel consumption,Electricity consumption,Family type,Gas Availability,Gas consumption,House ID,House members,Individual type,Motor cycle,Number of bedrooms,Other fuel car,Petrol car,Petrol consumption,Region
3400,3400,Katie Harris,female,West Midlands,WR11 4QH,Asian / Asian British: Other Asian,South Africa,Other,,,,,,,,,,,,,,,
3614,3614,Ruth Evans,female,North West,WN2 3LP,White,Iran,9. Elementary occupations,,,,,,,,,,,,,,,
9897,9897,Ellie Barker,female,Wales,LL30 3RB,White,United Kingdom,Other,,,,,,,,,,,,,,,
117,117,Gerald Mills,male,London,IG1 3UB,White,United Kingdom,Other,0.0,402.0,1364.523084,One family households,Yes,4458.931171,1cf1204d-4ad4-4728-ae84-3b4d64c2d2aa,2.0,Couple,0.0,1 bedroom,0.0,0.0,0.0,london
8305,8305,Frederick Smith,male,West Midlands,B15 2UZ,White,United Kingdom,Other,,,,,,,,,,,,,,,
766,766,Carly Dunn,female,Yorkshire and The Humber,S66 8EG,White,United Kingdom,Other,0.0,0.0,3371.4205049999996,One family households,Yes,3380.4367740000002,f957c913-19f4-447a-9c62-a85fd14b29ea,3.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,yorkshire and the humber
5150,5150,Kirsty Green,female,Scotland,KW15 1TY,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
2392,2392,Jane Fletcher,female,London,NW10 8HX,Asian / Asian British: Other Asian,United Kingdom,Other,,,,,,,,,,,,,,,
9676,9676,June King,female,South West,GL8 8DB,White,United Kingdom,Other,,,,,,,,,,,,,,,
6055,6055,Hollie Atkinson,female,South West,BA1 5NS,White,United Kingdom,Other,,,,,,,,,,,,,,,
2353,2353,Irene Smith,female,East,LU5 4RQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
8717,8717,Abigail Mason,female,East Midlands,SK13 8JX,White,Republic of Ireland,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
8369,8369,Diana Wright,female,South East,RG1 7UY,White,United Kingdom,Other,,,,,,,,,,,,,,,
1411,1411,Paul Day,male,North East,NE11 0QD,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
4722,4722,Heather King,female,London,SE16 3BL,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
9742,9742,John Carr,male,London,N9 8HA,Black / African / Caribbean / Black British,United Kingdom,Other,,,,,,,,,,,,,,,
6996,6996,Jodie Bowen,female,North West,LA3 3AL,White,United Kingdom,Other,,,,,,,,,,,,,,,
421,421,Dennis Bird,male,North West,BB1 1TJ,White,United Kingdom,Other,1.0,0.0,481.5003799,Lone parent,Yes,3636.6122229999996,a3b75b40-55c5-47de-b0db-44cd87c2a86d,4.0,Lone Parent,0.0,3 bedrooms,0.0,1.0,0.0,north west
2399,2399,Sophie Kirby,female,Scotland,PA20 9AA,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
1762,1762,Maria Owen,female,Yorkshire and The Humber,S10 4LQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
2683,2683,Denise Lambert,female,East,PE3 9NT,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
9481,9481,Susan Smith,female,Yorkshire and The Humber,HU18 1BD,White,United Kingdom,Other,,,,,,,,,,,,,,,
6564,6564,Michael Cox,male,North West,OL10 3HZ,White,United Kingdom,Other,,,,,,,,,,,,,,,
374,374,Kieran Jones,male,East,SG4 0JT,White,United Kingdom,4. Administrative and secretarial occupations,0.0,386.0,4228.557192,One person household,Yes,16608.0324,6c27888e-223b-401e-acf6-55b012966749,1.0,Under 65,1.0,3 bedrooms,0.0,2.0,15.0,east
4041,4041,Adam Winter,male,North West,CH64 4EE,White,United Kingdom,Other,,,,,,,,,,,,,,,
4408,4408,Geoffrey Lawrence,male,London,RM6 6QT,Asian / Asian British: Other Asian,United Kingdom,Other,,,,,,,,,,,,,,,
3647,3647,Debra Webb,female,Scotland,G84 8NW,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
7488,7488,Daniel Hunt,male,North West,CA3 8ED,White,United Kingdom,Other,,,,,,,,,,,,,,,
9574,9574,Hollie Davies,female,North East,DH6 5NY,White,United Kingdom,Other,,,,,,,,,,,,,,,
301,301,Keith Rahman,male,East,NR13 5NG,White,United Kingdom,Other,0.0,1155.0,2190.438745,One family households,Yes,10901.49403,2b01bc9f-2c2e-4a01-af51-b258cbf61d5f,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,east
2302,2302,Charlie Barker,male,Northern Ireland,BT13 2EN,White,United Kingdom,Other,,,,,,,,,,,,,,,
3133,3133,Maria Kerr,female,North West,M3 5BG,White,United Kingdom,Other,,,,,,,,,,,,,,,
6629,6629,Stuart Payne,male,South East,TN11 9EQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
956,956,Lesley Lees,female,Yorkshire and The Humber,S66 8HP,White,United Kingdom,Other,0.0,0.0,498.95207310000006,One family households,Yes,6986.1516,fd689d59-5d81-44fd-9251-afdd40f070ab,3.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,yorkshire and the humber
8936,8936,Beverley Middleton,female,London,EN4 8SS,White,United Kingdom,Other,,,,,,,,,,,,,,,
1264,1264,Debra Hall,female,East Midlands,NG31 9ED,White,Spain,Other,,,,,,,,,,,,,,,
5493,5493,Patricia Wood,female,East,LU2 7EP,White,Portugal,2. Professional occupations,,,,,,,,,,,,,,,
6776,6776,Brenda Barker,female,South West,BS30 5WE,White,United Kingdom,Other,,,,,,,,,,,,,,,
3837,3837,Harriet O'Sullivan,female,Scotland,ML2 0GB,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
9969,9969,Jason Powell,male,Scotland,KY7 4JE,White,Republic of Ireland,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
911,911,Roy Hammond,male,Northern Ireland,BT31 9NH,White,United Kingdom,Other,1.0,0.0,951.2797821,One family households,Yes,4240.282959,ad7ff6f3-0d53-456b-9c10-2fcd599d345e,3.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,northern ireland
671,671,Barbara Walker,female,East,PE3 7AD,Black / African / Caribbean / Black British,United Kingdom,5. Skilled trades occupations,0.0,0.0,1594.545543,One family households,Yes,5143.249277,4ac2f4c7-c45e-4f61-8c25-9e68e3b70b27,3.0,Child,0.0,2 bedrooms,0.0,0.0,0.0,east
6450,6450,Owen Burke,male,South East,MK16 8LJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
913,913,Marian Ball,female,South West,SN4 8JL,White,United Kingdom,Other,0.0,0.0,390.43737169999997,One family households,Yes,10211.27573,798522e7-a566-4566-a147-d1a7643aed18,3.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,south west
2224,2224,Glenn Singh,male,Scotland,PA1 3HD,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
7727,7727,Ryan Thompson,male,South West,PL1 5LJ,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
3116,3116,Carole Bates,female,South East,RG12 2SE,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
4069,4069,Pamela Clark,female,East,CM24 8FR,White,United Kingdom,Other,,,,,,,,,,,,,,,
4496,4496,Samantha Bradshaw,female,West Midlands,CV4 8NE,Black / African / Caribbean / Black British,United Kingdom,Other,,,,,,,,,,,,,,,
7126,7126,Victoria Pearson,female,Yorkshire and The Humber,DN31 3HL,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
5757,5757,Harry Holmes,male,West Midlands,SY3 7TA,White,Canada,Other,,,,,,,,,,,,,,,
1101,1101,Ross Kirby,male,Scotland,ML1 9WY,White,United Kingdom,Other,,,,,,,,,,,,,,,
7951,7951,Eleanor Taylor,female,Yorkshire and The Humber,HU16 5JG,White,United Kingdom,Other,,,,,,,,,,,,,,,
3448,3448,Sara Brennan,female,West Midlands,CV8 3EP,White,United Kingdom,Other,,,,,,,,,,,,,,,
6951,6951,Alexandra Matthews,female,South West,BH20 5BX,White,United Kingdom,Other,,,,,,,,,,,,,,,
1290,1290,Sarah Saunders,female,London,SE8 3BU,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
6692,6692,Alice Cook,female,West Midlands,B79 9BB,Asian / Asian British: Pakistani,United Kingdom,Other,,,,,,,,,,,,,,,
9659,9659,Gareth Todd,male,South East,RH2 7AU,White,United Kingdom,Other,,,,,,,,,,,,,,,
8734,8734,Maureen Woods,female,East Midlands,LE3 9BY,White,United Kingdom,Other,,,,,,,,,,,,,,,
7481,7481,Chloe Thompson,female,London,E6 3BE,Other Ethnic Group,United Kingdom,Other,,,,,,,,,,,,,,,
8460,8460,Wendy Nash,female,East Midlands,DN22 7BY,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
2850,2850,Liam Oliver,male,North West,FY8 4AJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
1920,1920,Aimee Martin,female,South East,PO33 3NU,White,United Kingdom,Other,,,,,,,,,,,,,,,
8958,8958,Diana Clarke,female,Yorkshire and The Humber,HU3 2DQ,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
4056,4056,Douglas Ward,male,East,NR18 9HJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
3632,3632,Kirsty Watson,female,Scotland,G53 7AS,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
1722,1722,Maria Griffiths,female,Scotland,DD5 4JU,White,Poland,2. Professional occupations,,,,,,,,,,,,,,,
6495,6495,Callum Shaw,male,South East,DA10 0BH,Asian / Asian British: Pakistani,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
4315,4315,Leanne Reynolds,female,West Midlands,B30 1BQ,Asian / Asian British: Indian,Romania,2. Professional occupations,,,,,,,,,,,,,,,
1011,1011,Marie Jones,female,South East,ME14 5JJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
4263,4263,Glenn Roberts,male,London,HA6 2TP,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
4891,4891,Jack Evans,male,Scotland,EH14 3HN,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
5316,5316,Debra Lewis,female,North East,TS20 1LU,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
6553,6553,Louis Morris,male,London,SE5 8ES,Black / African / Caribbean / Black British,United Kingdom,Other,,,,,,,,,,,,,,,
4770,4770,Howard Cunningham,male,South East,PO20 0EX,White,United Kingdom,Other,,,,,,,,,,,,,,,
8190,8190,Joshua Brown,male,South East,RG8 7JL,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
2001,2001,Melissa Craig,female,North West,SK14 9DD,White,United Kingdom,Other,,,,,,,,,,,,,,,
6124,6124,Ronald Khan,male,East Midlands,DE5 3EB,White,United Kingdom,Other,,,,,,,,,,,,,,,
9628,9628,Dylan Reynolds,male,North West,SK11 8NX,White,United Kingdom,Other,,,,,,,,,,,,,,,
1353,1353,Pamela Warren,female,South West,TQ10 9HF,White,United Kingdom,Other,,,,,,,,,,,,,,,
7842,7842,Elliot Atkinson,male,South East,SL4 2JU,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
1883,1883,Marcus Smith,male,London,W1H 1DE,Asian / Asian British: Pakistani,Spain,Other,,,,,,,,,,,,,,,
9864,9864,Terry Hudson,male,Scotland,KY16 9JP,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
6375,6375,Christine Jenkins,female,London,E17 8QX,White,United Kingdom,Other,,,,,,,,,,,,,,,
4566,4566,Glenn Taylor,male,South West,GL1 9SR,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
2347,2347,Harry Jones,male,North East,NE66 2SD,White,United Kingdom,Other,,,,,,,,,,,,,,,
4808,4808,Allan Cox,male,East,EN8 7DQ,White,Italy,Other,,,,,,,,,,,,,,,
2509,2509,Gavin Reed,male,North West,CW11 3TB,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
8529,8529,Lawrence Kaur,male,Scotland,G42 9BH,White,Greece,Other,,,,,,,,,,,,,,,
1596,1596,Damian Woodward,male,East Midlands,S41 0BD,White,United Kingdom,Other,,,,,,,,,,,,,,,
5528,5528,Timothy Bennett,male,Wales,CF24 4AH,White,United Kingdom,Other,,,,,,,,,,,,,,,
2767,2767,Georgia Hunt,female,North West,PR4 4GH,White,United Kingdom,Other,,,,,,,,,,,,,,,
27,27,Louis Morrison,male,South East,GU46 6YJ,White,United Kingdom,Other,0.0,0.0,1413.282864,One family households,Yes,4692.1928259999995,cb61d5b9-f076-4155-9972-3957d91f5ba8,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,south east
3216,3216,Brenda Dunn,female,South East,TN11 8NP,White,United Kingdom,Other,,,,,,,,,,,,,,,
4161,4161,Molly Williams,female,London,E10 9EY,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
8329,8329,Ashleigh Macdonald,female,Scotland,EH6 6JA,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
9581,9581,Kirsty Bradshaw,female,South East,TN6 1JB,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
8823,8823,Kim Moss,female,North West,BB2 9LF,White,United Kingdom,Other,,,,,,,,,,,,,,,
2071,2071,Heather Lee,female,South West,BA1 3EQ,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
1835,1835,Antony Thomas,male,North West,BL1 8DB,White,United Kingdom,Other,,,,,,,,,,,,,,,
3372,3372,Andrew Lee,male,South West,GL6 7QX,White,United Kingdom,Other,,,,,,,,,,,,,,,
9029,9029,Jack Hawkins,male,East Midlands,S42 6YB,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
3563,3563,Eric Bailey,male,North West,BB3 0AA,White,United Kingdom,Other,,,,,,,,,,,,,,,
626,626,Stephanie Clarke,female,South West,GL8 8RE,White,United Kingdom,2. Professional occupations,0.0,925.0,2074.462726,One person household,Yes,9410.04256,c1cc4853-7af3-4311-8020-e19524a8f91c,1.0,Under 65,0.0,1 bedroom,0.0,0.0,0.0,south west
9269,9269,Paula Burns,female,London,CR0 2SD,Other Ethnic Group,United Kingdom,Other,,,,,,,,,,,,,,,
3362,3362,Frederick Walker,male,Scotland,AB51 5BH,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
3835,3835,Hannah Buckley,female,South West,BA14 0QS,White,United Kingdom,Other,,,,,,,,,,,,,,,
3076,3076,Craig Lawson,male,London,N14 4PB,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
9853,9853,Lee Poole,male,East Midlands,NG7 1AR,White,United Kingdom,Other,,,,,,,,,,,,,,,
600,600,Oliver Davies,male,South East,CT1 2AB,White,United Kingdom,7. Sales and customer service occupations,0.0,471.0,1093.44756,One family households,Yes,5174.106872,b1d8560f-f6df-4ba8-aecf-c4e2cc71d60e,3.0,Couple,0.0,3 bedrooms,0.0,1.0,0.0,south east
2904,2904,Ricky Smart,male,North West,OL3 7PB,Mixed / Multiple ethnic group,Poland,Other,,,,,,,,,,,,,,,
9,9,Scott Morgan,male,Northern Ireland,BT35 8GB,White,United Kingdom,3. Associate professional and technical occupat...,1.0,1954.0,5102.045770000001,One person household,Yes,10472.45887,e52ba71c-b9a1-4fa8-a6b1-623c7ad93383,1.0,Under 65,0.0,2 bedrooms,0.0,1.0,95.0,northern ireland
8526,8526,Jade Wheeler,female,South West,EX2 4SJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
3877,3877,Caroline Smith,female,East Midlands,LN2 4WS,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
1262,1262,Samantha Thompson,female,East,MK43 7NN,Black / African / Caribbean / Black British,United Kingdom,Other,,,,,,,,,,,,,,,
870,870,Amy Walker,female,East Midlands,LE18 3PH,White,United Kingdom,9. Elementary occupations,0.0,0.0,1367.893504,Two or more unrelated adults,Yes,2919.70026,d987238d-56f8-4bf7-b40f-3fdb8f8b14ec,5.0,Adult,0.0,4 bedrooms,0.0,0.0,0.0,east midlands
4591,4591,Amanda Law,female,East,WD7 7LQ,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
8531,8531,Leah Herbert,female,London,W1H 2JE,White,Albania,2. Professional occupations,,,,,,,,,,,,,,,
8492,8492,Mohamed Goddard,male,London,SW15 2DZ,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
4535,4535,Hannah Clark,female,South East,GU52 6LU,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
4459,4459,Maurice Bell,male,West Midlands,SY7 8NH,White,United Kingdom,Other,,,,,,,,,,,,,,,
5970,5970,Rachel Parkinson,female,East Midlands,PE23 5SX,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
3506,3506,Ian Kelly,male,Yorkshire and The Humber,BD13 4BH,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
7828,7828,Jake Thompson,male,North West,BB10 2HT,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
9992,9992,Rita Brown,female,Wales,CF81 8SP,White,United Kingdom,Other,,,,,,,,,,,,,,,
5834,5834,Gordon Cook,male,West Midlands,DY10 2PS,Asian / Asian British: Bangladeshi,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
2958,2958,Jodie Dawson,female,South East,KT19 0QD,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
6271,6271,Richard Graham,male,North East,NE4 7HL,White,United Kingdom,Other,,,,,,,,,,,,,,,
3422,3422,Lee Jones,male,Scotland,AB25 1EY,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
8449,8449,Wayne Douglas,male,Yorkshire and The Humber,HD6 1SY,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
4909,4909,Suzanne Jones,female,Scotland,AB22 8ZF,White,United Kingdom,Other,,,,,,,,,,,,,,,
4132,4132,Antony Lewis,male,West Midlands,CV2 1LY,White,United Kingdom,Other,,,,,,,,,,,,,,,
9799,9799,Terence Holt,male,Yorkshire and The Humber,DN6 8HX,White,United Kingdom,Other,,,,,,,,,,,,,,,
6038,6038,Gordon Barlow,male,Yorkshire and The Humber,YO32 3EJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
8428,8428,Leigh Davies,male,North West,M33 6FY,White,United Kingdom,Other,,,,,,,,,,,,,,,
2662,2662,Mary Parkinson,female,Scotland,PA9 1AX,White,United Kingdom,Other,,,,,,,,,,,,,,,
8451,8451,Graeme Short,male,Northern Ireland,BT39 9ZT,White,United Kingdom,Other,,,,,,,,,,,,,,,
6382,6382,Edward Holt,male,East,SS9 5HG,White,United Kingdom,Other,,,,,,,,,,,,,,,
9763,9763,John Ross,male,East,SS4 3LW,White,United Kingdom,Other,,,,,,,,,,,,,,,
4714,4714,Lynn Townsend,female,Scotland,G75 0BZ,White,United Kingdom,Other,,,,,,,,,,,,,,,
1902,1902,Jean Harding,female,London,W1U 1EF,White,United Kingdom,Other,,,,,,,,,,,,,,,
3683,3683,Declan Hodgson,male,North West,OL10 4HW,White,China,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
3712,3712,Melissa Wright,female,South East,DA1 2NS,White,United Kingdom,Other,,,,,,,,,,,,,,,
3047,3047,Luke King,male,Yorkshire and The Humber,LS14 5AN,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
3705,3705,Abigail Jackson,female,Wales,SA2 0GE,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
4871,4871,Bethany Taylor,female,South West,EX32 0EW,White,United Kingdom,Other,,,,,,,,,,,,,,,
744,744,Christian Blake,male,North West,WN2 1PZ,White,United Kingdom,2. Professional occupations,0.0,322.0,4252.728440999999,One person household,No,0.0,a6cc1a58-d28c-4902-8d87-1fd6a2e7bdcc,1.0,65 or over,0.0,1 bedroom,0.0,0.0,0.0,north west
4202,4202,Fiona Jarvis,female,Yorkshire and The Humber,HD1 4UE,White,United Kingdom,Other,,,,,,,,,,,,,,,
8601,8601,Suzanne Wood,female,London,SE1 5AD,Black / African / Caribbean / Black British,Republic of Ireland,5. Skilled trades occupations,,,,,,,,,,,,,,,
7491,7491,Sarah Hancock,female,West Midlands,B90 2RN,White,United Kingdom,Other,,,,,,,,,,,,,,,
4045,4045,Aaron Roberts,male,South East,PO4 9DB,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
2550,2550,Guy Saunders,male,Yorkshire and The Humber,DN6 9RA,White,United Kingdom,Other,,,,,,,,,,,,,,,
3397,3397,Sean Donnelly,male,London,SW13 9ED,Asian / Asian British: Indian,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
5800,5800,Ronald Roberts,male,Scotland,KW10 6RX,White,United Kingdom,Other,,,,,,,,,,,,,,,
8290,8290,Amber Ward,female,Northern Ireland,BT48 8BL,White,United Kingdom,Other,,,,,,,,,,,,,,,
6808,6808,Lesley Smith,female,South East,KT6 5ED,Black / African / Caribbean / Black British,United Kingdom,Other,,,,,,,,,,,,,,,
7912,7912,Melanie Baker,female,South East,ME13 8PG,White,Portugal,7. Sales and customer service occupations,,,,,,,,,,,,,,,
7778,7778,Douglas Lambert,male,London,N4 2PP,White,United Kingdom,Other,,,,,,,,,,,,,,,
8421,8421,Antony Fletcher,male,West Midlands,CV6 5NQ,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
7656,7656,Steven Johnson,male,South East,RH10 3QU,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
7109,7109,Jay Smith,male,South West,TA10 9BH,White,United Kingdom,Other,,,,,,,,,,,,,,,
6540,6540,Jay Parkinson,male,South West,TA6 9TE,Mixed / Multiple ethnic group,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
4949,4949,Max Robinson,male,North East,NE16 6ER,White,United Kingdom,Other,,,,,,,,,,,,,,,
4593,4593,Carolyn Foster,female,West Midlands,B18 7JL,Black / African / Caribbean / Black British,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
9086,9086,Gerald Morris,male,South East,BN25 2JQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
9161,9161,Amanda Smith,female,South East,MK2 3QN,White,United Kingdom,Other,,,,,,,,,,,,,,,
8749,8749,Joshua Henry,male,North West,M14 4AL,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
925,925,Gareth Hill,male,Wales,NP11 4AL,White,United Kingdom,4. Administrative and secretarial occupations,0.0,222.0,1637.970012,One family households,No,0.0,3664ca2a-8266-49ca-bd7c-65627f3b02e0,3.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,wales
8674,8674,Brandon Lynch,male,Yorkshire and The Humber,HU8 7SH,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
195,195,Shannon Cooper,female,South East,RH12 4JQ,White,Latvia,Other,0.0,124.0,343.5528461,One family households,Yes,6054.8105780000005,335ce418-cf43-43a4-8c7e-db6e0fc12925,2.0,Couple,0.0,1 bedroom,0.0,0.0,0.0,south east
5968,5968,Denis Russell,male,Scotland,G72 9PS,White,Italy,Other,,,,,,,,,,,,,,,
5447,5447,Dawn Patel,female,Wales,LL21 0BT,White,United Kingdom,Other,,,,,,,,,,,,,,,
4042,4042,Joanne Parker,female,East Midlands,LN5 7LF,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
3726,3726,Maria Brooks,female,London,TW12 1HL,White,Finland,Other,,,,,,,,,,,,,,,
6939,6939,Megan Watson,female,London,TW5 9UH,White,Germany,Other,,,,,,,,,,,,,,,
4099,4099,Jake Marshall,male,South East,CT2 8DD,White,United Kingdom,Other,,,,,,,,,,,,,,,
7267,7267,Jack Taylor,male,Yorkshire and The Humber,DN33 2PX,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
9594,9594,Judith Peacock,female,North East,SR7 9BP,White,United Kingdom,Other,,,,,,,,,,,,,,,
2606,2606,Howard Williams,male,Yorkshire and The Humber,YO25 5LT,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
9527,9527,Helen Newton,female,Northern Ireland,BT39 9NE,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
5522,5522,Eleanor Brown,female,South East,UB9 5DF,Other Ethnic Group,United Kingdom,Other,,,,,,,,,,,,,,,
8518,8518,Rosemary Simmons,female,Wales,CF44 6DR,White,United Kingdom,Other,,,,,,,,,,,,,,,
4165,4165,Gerard Bennett,male,East Midlands,LE11 5XH,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
6770,6770,Dean Bull,male,South West,SN1 2JU,White,South Africa,Other,,,,,,,,,,,,,,,
8621,8621,Clare Robinson,female,Yorkshire and The Humber,BD20 0DY,White,United Kingdom,Other,,,,,,,,,,,,,,,
1395,1395,James Clark,male,East,CM7 4LD,White,United Kingdom,Other,,,,,,,,,,,,,,,
5572,5572,Ross Johnson,male,East,NR35 2TL,White,United Kingdom,Other,,,,,,,,,,,,,,,
7892,7892,Rosie Hayes,female,Wales,CF37 1AA,White,United Kingdom,Other,,,,,,,,,,,,,,,
9293,9293,Francesca Chapman,female,North West,OL10 2QW,White,United Kingdom,Other,,,,,,,,,,,,,,,
3885,3885,Callum Watts,male,South West,BH12 4JW,White,United Kingdom,Other,,,,,,,,,,,,,,,
6902,6902,Abigail Richardson,female,Scotland,KA23 9LY,Asian / Asian British: Other Asian,United Kingdom,Other,,,,,,,,,,,,,,,
6091,6091,Sophie Stevenson,female,East Midlands,NN11 0TN,White,United Kingdom,Other,,,,,,,,,,,,,,,
137,137,Barry Jackson,male,East,NR10 3LZ,White,United Kingdom,Other,1.0,713.0,7418.876079000001,One person household,No,0.0,41653fba-ff23-4edb-8748-2a1e808e00bd,1.0,65 or over,0.0,1 bedroom,0.0,1.0,47.0,east
6482,6482,Sandra Reed,female,West Midlands,B98 0DE,Asian / Asian British: Other Asian,United Kingdom,Other,,,,,,,,,,,,,,,
8133,8133,Kathryn Matthews,female,South West,GL20 9SS,White,United Kingdom,Other,,,,,,,,,,,,,,,
4716,4716,Marion Ali,female,East,SG13 8PQ,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
5575,5575,Carolyn Smith,female,North East,DL12 9EX,White,United Kingdom,Other,,,,,,,,,,,,,,,
299,299,Jeremy Shah,male,South West,EX2 5EL,White,United Kingdom,Other,0.0,1585.0,445.3657208000001,One person household,No,0.0,e5e88472-823f-40c0-8299-3ff14f530f3e,1.0,Under 65,0.0,1 bedroom,0.0,1.0,198.0,south west
4884,4884,Patricia Clarke,female,South East,BN13 1ER,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
5547,5547,Mohammed Walker,male,East Midlands,S21 1JB,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
5515,5515,Charlotte Andrews,female,Wales,CF34 0TD,White,United Kingdom,Other,,,,,,,,,,,,,,,
2805,2805,Trevor Holloway,male,Wales,CF41 7RH,White,United Kingdom,Other,,,,,,,,,,,,,,,
8208,8208,Eileen Wood,female,Wales,CH7 2AD,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
1166,1166,Graeme Stewart,male,North West,PR1 5NQ,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
